,car_name,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,mpg
367,"chevrolet,cavalier",4,112.0,88.0,2605,19.6,82,1,28.0
368,"chevrolet,cavalier,wagon",4,112.0,88.0,2640,18.6,82,1,27.0
369,"chevrolet,cavalier,2-door",4,112.0,88.0,2395,18.0,82,1,34.0
370,"pontiac,j2000,se,hatchback",4,112.0,85.0,2575,16.2,82,1,31.0
371,"dodge,aries,se",4,135.0,84.0,2525,16.0,82,1,29.0
372,"pontiac,phoenix",4,151.0,90.0,2735,18.0,82,1,27.0
373,"ford,fairmont,futura",4,140.0,92.0,2865,16.4,82,1,24.0
374,"amc,concord,dl",4,151.0,,3035,20.5,82,1,23.0
375,"volkswagen,rabbit,l",4,105.0,74.0,1980,15.3,82,2,36.0
376,"mazda,glc,custom,l",4,91.0,68.0,2025,18.2,82,3,37.0
377,"mazda,glc,custom",4,91.0,68.0,1970,17.6,82,3,31.0
378,"plymouth,horizon,miser",4,105.0,63.0,2125,14.7,82,1,38.0
379,"mercury,lynx,l",4,98.0,70.0,2125,17.3,82,1,36.0
380,"nissan,stanza,xe",4,120.0,88.0,2160,14.5,82,3,36.0
381,"honda,accord",4,107.0,75.0,2205,14.5,82,3,36.0
382,"toyota,corolla",4,108.0,70.0,2245,16.9,82,3,34.0
383,"honda,civic",4,91.0,67.0,1965,15.0,82,3,38.0
384,"honda,civic,(auto)",4,91.0,67.0,1965,15.7,82,3,32.0
385,"datsun,310,gx",4,91.0,67.0,1995,16.2,82,3,38.0
386,"buick,century,limited",6,181.0,110.0,2945,16.4,82,1,25.0
387,"oldsmobile,cutlass,ciera,(diesel)",6,262.0,85.0,3015,17.0,82,1,38.0
388,"chrysler,lebaron,medallion",4,156.0,92.0,2585,14.5,82,1,26.0
389,"ford,granada,l",6,232.0,112.0,2835,14.7,82,1,22.0
390,"toyota,celica,gt",4,144.0,96.0,2665,13.9,82,3,32.0
391,"dodge,charger,2.2",4,135.0,84.0,2370,13.0,82,1,36.0
392,"chevrolet,camaro",4,151.0,90.0,2950,17.3,82,1,27.0
393,"ford,mustang,gl",4,140.0,86.0,2790,15.6,82,1,27.0
394,"vw,pickup",4,97.0,52.0,2130,24.6,82,2,44.0
395,"dodge,rampage",4,135.0,84.0,2295,11.6,82,1,32.0
396,"ford,ranger",4,120.0,79.0,2625,18.6,82,1,28.0
397,"chevy,s-10",4,119.0,82.0,2720,19.4,82,1,31.0
